iso_year,iso_week,week_start,district,cases
2025,6,2025-02-03,Vavuniya,3
2025,6,2025-02-03,Mullaitivu,1
2025,6,2025-02-03,Batticaloa,53
2025,6,2025-02-03,Ampara,13
2025,6,2025-02-03,Trincomalee,22
2025,6,2025-02-03,Kurunegala,18
2025,6,2025-02-03,Puttalam,22
2025,6,2025-02-03,Anuradhapura,18
2025,6,2025-02-03,Polonnaruwa,8
2025,6,2025-02-03,Badulla,26
2025,6,2025-02-03,Monaragala,20
2025,6,2025-02-03,Ratnapura,58
2025,6,2025-02-03,Kegalle,24
2025,7,2025-02-10,Colombo,252
2025,7,2025-02-10,Gampaha,131
2025,7,2025-02-10,Kalutara,29
2025,7,2025-02-10,Kandy,50
2025,7,2025-02-10,Matale,38
2025,7,2025-02-10,Nuwara Eliya,4
2025,7,2025-02-10,Galle,44
2025,7,2025-02-10,Matara,34
2025,7,2025-02-10,Hambantota,15
2025,7,2025-02-10,Jaffna,35
2025,7,2025-02-10,Kilinochchi,2
2025,7,2025-02-10,Mannar,3
2025,7,2025-02-10,Vavuniya,2
2025,7,2025-02-10,Mullaitivu,2
2025,7,2025-02-10,Batticaloa,60
2025,7,2025-02-10,Ampara,17
2025,7,2025-02-10,Trincomalee,28
2025,7,2025-02-10,Kurunegala,27
2025,7,2025-02-10,Puttalam,16
2025,7,2025-02-10,Anuradhapura,39
2025,7,2025-02-10,Polonnaruwa,10
2025,7,2025-02-10,Badulla,17
2025,7,2025-02-10,Monaragala,6
2025,7,2025-02-10,Ratnapura,47
2025,7,2025-02-10,Kegalle,29
2025,8,2025-02-17,Colombo,252
2025,8,2025-02-17,Gampaha,131
2025,8,2025-02-17,Kalutara,29
2025,8,2025-02-17,Kandy,50
2025,8,2025-02-17,Matale,38
2025,8,2025-02-17,Nuwara Eliya,4
2025,8,2025-02-17,Galle,44
2025,8,2025-02-17,Matara,34
2025,8,2025-02-17,Hambantota,15
2025,8,2025-02-17,Jaffna,35
2025,8,2025-02-17,Kilinochchi,2
2025,8,2025-02-17,Mannar,3
2025,8,2025-02-17,Vavuniya,2
2025,8,2025-02-17,Mullaitivu,2
2025,8,2025-02-17,Batticaloa,60
2025,8,2025-02-17,Ampara,17
2025,8,2025-02-17,Trincomalee,28
2025,8,2025-02-17,Kurunegala,27
2025,8,2025-02-17,Puttalam,16
2025,8,2025-02-17,Anuradhapura,39
2025,8,2025-02-17,Polonnaruwa,10
2025,8,2025-02-17,Badulla,17
2025,8,2025-02-17,Monaragala,6
2025,8,2025-02-17,Ratnapura,47
2025,8,2025-02-17,Kegalle,29
2025,9,2025-02-24,Colombo,217
2025,9,2025-02-24,Gampaha,132
2025,9,2025-02-24,Kalutara,44
2025,9,2025-02-24,Kandy,63
2025,9,2025-02-24,Matale,40
2025,9,2025-02-24,Nuwara Eliya,8
2025,9,2025-02-24,Galle,43
2025,9,2025-02-24,Matara,35
2025,9,2025-02-24,Hambantota,10
2025,9,2025-02-24,Jaffna,30
2025,9,2025-02-24,Kilinochchi,2
2025,9,2025-02-24,Mannar,4
2025,9,2025-02-24,Vavuniya,0
2025,9,2025-02-24,Mullaitivu,0
2025,9,2025-02-24,Batticaloa,81
2025,9,2025-02-24,Ampara,15
2025,9,2025-02-24,Trincomalee,29
2025,9,2025-02-24,Kurunegala,20
2025,9,2025-02-24,Puttalam,24
2025,9,2025-02-24,Anuradhapura,24
2025,9,2025-02-24,Polonnaruwa,9
2025,9,2025-02-24,Badulla,8
2025,9,2025-02-24,Monaragala,15
2025,9,2025-02-24,Ratnapura,50
2025,9,2025-02-24,Kegalle,35
2025,10,2025-03-03,Colombo,219
2025,10,2025-03-03,Gampaha,119
2025,10,2025-03-03,Kalutara,31
2025,10,2025-03-03,Kandy,58
2025,10,2025-03-03,Matale,28
2025,10,2025-03-03,Nuwara Eliya,2
2025,10,2025-03-03,Galle,21
2025,10,2025-03-03,Matara,24
2025,10,2025-03-03,Hambantota,12
2025,10,2025-03-03,Jaffna,28
2025,10,2025-03-03,Kilinochchi,1
2025,10,2025-03-03,Mannar,3
2025,10,2025-03-03,Vavuniya,5
2025,10,2025-03-03,Mullaitivu,1
2025,10,2025-03-03,Batticaloa,59
2025,10,2025-03-03,Ampara,11
2025,10,2025-03-03,Trincomalee,25
2025,10,2025-03-03,Kurunegala,25
2025,10,2025-03-03,Puttalam,23
2025,10,2025-03-03,Anuradhapura,18
2025,10,2025-03-03,Polonnaruwa,6
2025,10,2025-03-03,Badulla,11
2025,10,2025-03-03,Monaragala,10
2025,10,2025-03-03,Ratnapura,47
2025,10,2025-03-03,Kegalle,22
2025,11,2025-03-10,Colombo,262
2025,11,2025-03-10,Gampaha,142
2025,11,2025-03-10,Kalutara,43
2025,11,2025-03-10,Kandy,49
2025,11,2025-03-10,Matale,39
2025,11,2025-03-10,Nuwara Eliya,2
2025,11,2025-03-10,Galle,40
2025,11,2025-03-10,Matara,50
2025,11,2025-03-10,Hambantota,17
2025,11,2025-03-10,Jaffna,15
2025,11,2025-03-10,Kilinochchi,3
2025,11,2025-03-10,Mannar,0
2025,11,2025-03-10,Vavuniya,0
2025,11,2025-03-10,Mullaitivu,1
2025,11,2025-03-10,Batticaloa,56
2025,11,2025-03-10,Ampara,16
2025,11,2025-03-10,Trincomalee,17
2025,11,2025-03-10,Kurunegala,17
2025,11,2025-03-10,Puttalam,24
2025,11,2025-03-10,Anuradhapura,25
2025,11,2025-03-10,Polonnaruwa,18
2025,11,2025-03-10,Badulla,3
2025,11,2025-03-10,Monaragala,17
2025,11,2025-03-10,Ratnapura,13
2025,11,2025-03-10,Kegalle,43
2025,12,2025-03-17,Colombo,214
2025,12,2025-03-17,Gampaha,132
2025,12,2025-03-17,Kalutara,37
2025,12,2025-03-17,Kandy,59
2025,12,2025-03-17,Matale,22
2025,12,2025-03-17,Nuwara Eliya,1
2025,12,2025-03-17,Galle,24
2025,12,2025-03-17,Matara,32
2025,12,2025-03-17,Hambantota,14
2025,12,2025-03-17,Jaffna,23
2025,12,2025-03-17,Kilinochchi,6
2025,12,2025-03-17,Mannar,2
2025,12,2025-03-17,Vavuniya,1
2025,12,2025-03-17,Mullaitivu,3
2025,12,2025-03-17,Batticaloa,31
2025,12,2025-03-17,Ampara,11
2025,12,2025-03-17,Trincomalee,25
