iso_year,iso_week,district,rainfall_mm,avg_temp_c
2025,6,Gampaha,1.2,26.3428571428571
2025,6,Kalutara,4.7,25.7857142857143
2025,6,Kandy,0,23.3142857142857
2025,6,Matale,0.5,23.4285714285714
2025,6,Nuwara Eliya,3.7,13.9714285714286
2025,6,Galle,10.3,25.8571428571429
2025,6,Matara,4.4,26.2428571428571
2025,6,Hambantota,1,26.7857142857143
2025,6,Jaffna,0.6,26.0714285714286
2025,6,Kilinochchi,0.3,25.6857142857143
2025,6,Mannar,3,26.8428571428571
2025,6,Vavuniya,0.7,24.7428571428571
2025,6,Mullaitivu,2.2,26.4285714285714
2025,6,Batticaloa,6,26.3857142857143
2025,6,Ampara,3.8,25.4142857142857
2025,6,Trincomalee,4.9,26.4857142857143
2025,6,Kurunegala,0,24.7714285714286
2025,6,Puttalam,0.5,25.8285714285714
2025,6,Anuradhapura,1.5,24.9428571428571
2025,6,Polonnaruwa,5.6,24.9142857142857
2025,6,Badulla,15.3,21.3142857142857
2025,6,Monaragala,0.7,24.8428571428571
2025,6,Ratnapura,2.3,26.0571428571429
2025,6,Kegalle,0.3,25.5285714285714
2025,7,Colombo,1.9,27.7142857142857
2025,7,Gampaha,0.9,27.4
2025,7,Kalutara,2.7,26.2571428571429
2025,7,Kandy,1,23.4285714285714
2025,7,Matale,0.6,23.8285714285714
2025,7,Nuwara Eliya,4.9,15.0714285714286
2025,7,Galle,7.1,26.4571428571429
2025,7,Matara,5.3,26.7428571428571
2025,7,Hambantota,2.1,26.9857142857143
2025,7,Jaffna,0.7,26.1428571428571
2025,7,Kilinochchi,1.6,25.3142857142857
2025,7,Mannar,2,26.4857142857143
2025,7,Vavuniya,1.9,24.7285714285714
2025,7,Mullaitivu,1.6,26.2142857142857
2025,7,Batticaloa,5.3,26.1857142857143
2025,7,Ampara,4.7,25.5857142857143
2025,7,Trincomalee,2,26.1428571428571
2025,7,Kurunegala,1.3,25.7142857142857
2025,7,Puttalam,2.1,26.1
2025,7,Anuradhapura,2.1,25.1571428571429
2025,7,Polonnaruwa,4.1,24.9714285714286
2025,7,Badulla,9.6,21.7142857142857
2025,7,Monaragala,1.6,25.2142857142857
2025,7,Ratnapura,3.7,26.4571428571429
2025,7,Kegalle,0.6,26.2428571428571
2025,8,Colombo,5.4,27.7571428571429
2025,8,Gampaha,2,27.5857142857143
2025,8,Kalutara,6.6,26.1571428571429
2025,8,Kandy,0.9,24.7
2025,8,Matale,1.6,25.2
2025,8,Nuwara Eliya,3.3,15.2714285714286
2025,8,Galle,13.7,26.4285714285714
2025,8,Matara,16,26.7714285714286
2025,8,Hambantota,5.7,27.6
2025,8,Jaffna,0,27.2714285714286
2025,8,Kilinochchi,0,26.0428571428571
2025,8,Mannar,0,27.0428571428571
2025,8,Vavuniya,0,25.6571428571429
2025,8,Mullaitivu,0.1,27.1285714285714
2025,8,Batticaloa,0.9,27.1571428571429
2025,8,Ampara,4.2,26.4714285714286
2025,8,Trincomalee,0,27.1
2025,8,Kurunegala,0.1,27.0571428571429
2025,8,Puttalam,0.1,26.8857142857143
2025,8,Anuradhapura,0,26.1285714285714
2025,8,Polonnaruwa,0.4,26.0428571428571
2025,8,Badulla,6.6,22.4714285714286
2025,8,Monaragala,1.5,26.3142857142857
2025,8,Ratnapura,5.8,26.5428571428571
2025,8,Kegalle,0.2,27.2
2025,9,Colombo,92.9,26.9
2025,9,Gampaha,102.4,26.7571428571429
2025,9,Kalutara,99.2,25.9714285714286
2025,9,Kandy,22.5,24.3
2025,9,Matale,17.5,24.9285714285714
2025,9,Nuwara Eliya,50.5,15.3857142857143
2025,9,Galle,104.4,25.9857142857143
2025,9,Matara,61.2,26
2025,9,Hambantota,63.7,26.7571428571429
2025,9,Jaffna,53,26.6285714285714
2025,9,Kilinochchi,64,26.1142857142857
2025,9,Mannar,35.4,26.8285714285714
2025,9,Vavuniya,38.8,25.2571428571429
2025,9,Mullaitivu,87.7,26.2857142857143
2025,9,Batticaloa,117.7,26.2714285714286
2025,9,Ampara,141.3,25.5142857142857
2025,9,Trincomalee,132.8,26.2714285714286
2025,9,Kurunegala,33.2,26.4571428571429
2025,9,Puttalam,54.6,26.7
2025,9,Anuradhapura,45.5,25.5
2025,9,Polonnaruwa,91.5,25.2857142857143
2025,9,Badulla,116.7,21.9857142857143
2025,9,Monaragala,116.9,24.7857142857143
2025,9,Ratnapura,92.5,25.8857142857143
2025,9,Kegalle,65.4,26.4428571428571
2025,10,Colombo,8.1,26.8428571428571
2025,10,Gampaha,3.9,26.6
2025,10,Kalutara,29.3,26.2
2025,10,Kandy,0.7,23.9285714285714
2025,10,Matale,0.8,25.2142857142857
2025,10,Nuwara Eliya,2.8,15.0428571428571
2025,10,Galle,11.3,26.2
2025,10,Matara,14.8,26.2428571428571
2025,10,Hambantota,25.6,26.7142857142857
2025,10,Jaffna,0.5,27.2
2025,10,Kilinochchi,0.2,26.5571428571429
2025,10,Mannar,0.5,27.1428571428571
2025,10,Vavuniya,0.3,25.9857142857143
2025,10,Mullaitivu,0.1,26.8571428571429
2025,10,Batticaloa,0.5,26.5
2025,10,Ampara,3,26.1428571428571
2025,10,Trincomalee,0.4,26.5714285714286
2025,10,Kurunegala,0.5,26.7
2025,10,Puttalam,5.9,26.9428571428571
2025,10,Anuradhapura,0.3,26.3571428571429
2025,10,Polonnaruwa,0.7,25.8714285714286
2025,10,Badulla,4.4,22.2714285714286
2025,10,Monaragala,3.9,25.2571428571429
2025,10,Ratnapura,18.2,26.4285714285714
2025,10,Kegalle,1.4,26.5142857142857
2025,11,Colombo,35.1,26.9428571428571
2025,11,Gampaha,55.4,26.5285714285714
2025,11,Kalutara,31.7,26.3428571428571
2025,11,Kandy,46.2,24.1
2025,11,Matale,74.2,24.8142857142857
2025,11,Nuwara Eliya,47.1,15.7
2025,11,Galle,49.8,26.0714285714286
2025,11,Matara,37.7,26.1285714285714
2025,11,Hambantota,45.5,26.6571428571429
2025,11,Jaffna,44.3,27.3285714285714
2025,11,Kilinochchi,51.4,26.8285714285714
2025,11,Mannar,36.5,27.3
2025,11,Vavuniya,61.1,25.8857142857143
2025,11,Mullaitivu,49.5,27.0714285714286
2025,11,Batticaloa,75.7,26.7571428571429
2025,11,Ampara,94.4,26.2285714285714
2025,11,Trincomalee,48,26.7714285714286
2025,11,Kurunegala,50.5,26.0571428571429
2025,11,Puttalam,64.2,26.5714285714286
2025,11,Anuradhapura,55.5,26.0571428571429
2025,11,Polonnaruwa,71.3,25.8857142857143
2025,11,Badulla,51,22.6428571428571
2025,11,Monaragala,63.2,25.2714285714286
2025,11,Ratnapura,24.1,26.4
2025,11,Kegalle,45.1,25.8571428571429
2025,12,Colombo,15,27.2142857142857
2025,12,Gampaha,50,26.5571428571429
2025,12,Kalutara,34,26.2
2025,12,Kandy,11.4,24.6571428571429
2025,12,Matale,31.4,25.3571428571429
